Rate,Overall_Time,500m_Split,WBT_Percentage,Time_Diff_vs_36,Split_Diff_vs_36
40,6:01.82,1:30.45,110.0,-1:23.82,-1:50.95
39,6:28.56,1:37.14,102.4,-1:50.56,-1:57.64
38,6:31.60,1:37.90,101.6,-1:53.60,-1:58.40
37,6:34.74,1:38.69,100.8,-1:56.74,-1:59.19
36,6:38.00,1:39.50,100.0,0:00.00,0:00.00
35,6:41.38,1:40.34,99.2,0:03.38,0:00.84
34,6:44.88,1:41.22,98.3,0:06.88,0:01.72
33,6:48.53,1:42.13,97.4,0:10.53,0:02.63
32,6:52.31,1:43.08,96.5,0:14.31,0:03.58
31,6:56.26,1:44.07,95.6,0:18.26,0:04.57
30,7:00.38,1:45.09,94.7,0:22.38,0:05.59
29,7:04.67,1:46.17,93.7,0:26.67,0:06.67
28,7:09.17,1:47.29,92.7,0:31.17,0:07.79
27,7:13.88,1:48.47,91.7,0:35.88,0:08.97
26,7:18.82,1:49.70,90.7,0:40.82,0:10.20
25,7:24.01,1:51.00,89.6,0:46.01,0:11.50
24,7:29.48,1:52.37,88.5,0:51.48,0:12.87
23,7:35.26,1:53.81,87.4,0:57.26,0:14.31
22,7:41.37,1:55.34,86.3,1:03.37,0:15.84
21,7:47.85,1:56.96,85.1,1:09.85,0:17.46
20,7:54.75,1:58.69,83.8,1:16.75,0:19.19
19,8:02.11,2:00.53,82.6,1:24.11,0:21.03
18,8:10.00,2:02.50,81.2,1:32.00,0:23.00
17,8:18.47,2:04.62,79.8,1:40.47,0:25.12
16,8:27.62,2:06.90,78.4,1:49.62,0:27.40
