Rate,Overall_Time,500m_Split,WBT_Percentage,Time_Diff_vs_36,Split_Diff_vs_36
40,6:28.27,1:37.07,110.0,-1:21.17,-1:50.29
39,6:56.97,1:44.24,102.4,-1:49.87,-1:57.47
38,7:00.23,1:45.06,101.6,-1:53.13,-1:58.28
37,7:03.60,1:45.90,100.8,-1:56.50,-1:59.13
36,7:07.10,1:46.78,100.0,0:00.00,0:00.00
35,7:10.72,1:47.68,99.2,0:03.62,0:00.91
34,7:14.49,1:48.62,98.3,0:07.39,0:01.85
33,7:18.40,1:49.60,97.4,0:11.30,0:02.82
32,7:22.46,1:50.62,96.5,0:15.36,0:03.84
31,7:26.70,1:51.67,95.6,0:19.60,0:04.90
30,7:31.11,1:52.78,94.7,0:24.01,0:06.00
29,7:35.72,1:53.93,93.7,0:28.62,0:07.16
28,7:40.55,1:55.14,92.7,0:33.45,0:08.36
27,7:45.60,1:56.40,91.7,0:38.50,0:09.62
26,7:50.90,1:57.72,90.7,0:43.80,0:10.95
25,7:56.47,1:59.12,89.6,0:49.37,0:12.34
24,8:02.34,2:00.59,88.5,0:55.24,0:13.81
23,8:08.54,2:02.14,87.4,1:01.44,0:15.36
22,8:15.10,2:03.78,86.3,1:08.00,0:17.00
21,8:22.06,2:05.51,85.1,1:14.96,0:18.74
20,8:29.46,2:07.37,83.8,1:22.36,0:20.59
19,8:37.36,2:09.34,82.6,1:30.26,0:22.57
18,8:45.82,2:11.46,81.2,1:38.72,0:24.68
17,8:54.92,2:13.73,79.8,1:47.82,0:26.95
16,9:04.73,2:16.18,78.4,1:57.63,0:29.41
