Rate,Overall_Time,500m_Split,WBT_Percentage,Time_Diff_vs_36,Split_Diff_vs_36
40,5:36.36,1:24.09,110.0,-1:26.36,-1:51.59
39,6:01.22,1:30.31,102.4,-1:51.22,-1:57.81
38,6:04.05,1:31.01,101.6,-1:54.05,-1:58.51
37,6:06.97,1:31.74,100.8,-1:56.97,-1:59.24
36,6:10.00,1:32.50,100.0,0:00.00,0:00.00
35,6:13.14,1:33.29,99.2,0:03.14,0:00.79
34,6:16.40,1:34.10,98.3,0:06.40,0:01.60
33,6:19.79,1:34.95,97.4,0:09.79,0:02.45
32,6:23.31,1:35.83,96.5,0:13.31,0:03.33
31,6:26.98,1:36.74,95.6,0:16.98,0:04.24
30,6:30.80,1:37.70,94.7,0:20.80,0:05.20
29,6:34.80,1:38.70,93.7,0:24.80,0:06.20
28,6:38.97,1:39.74,92.7,0:28.97,0:07.24
27,6:43.35,1:40.84,91.7,0:33.35,0:08.34
26,6:47.94,1:41.99,90.7,0:37.94,0:09.49
25,6:52.77,1:43.19,89.6,0:42.77,0:10.69
24,6:57.86,1:44.46,88.5,0:47.86,0:11.96
23,7:03.23,1:45.81,87.4,0:53.23,0:13.31
22,7:08.91,1:47.23,86.3,0:58.91,0:14.73
21,7:14.94,1:48.73,85.1,1:04.94,0:16.23
20,7:21.35,1:50.34,83.8,1:11.35,0:17.84
19,7:28.19,1:52.05,82.6,1:18.19,0:19.55
18,7:35.52,1:53.88,81.2,1:25.52,0:21.38
17,7:43.40,1:55.85,79.8,1:33.40,0:23.35
16,7:51.91,1:57.98,78.4,1:41.91,0:25.48
