Rate,Overall_Time,500m_Split,WBT_Percentage,Time_Diff_vs_36,Split_Diff_vs_36
40,6:07.27,1:31.82,110.0,-1:23.27,-1:50.82
39,6:34.41,1:38.60,102.4,-1:50.41,-1:57.60
38,6:37.50,1:39.37,101.6,-1:53.50,-1:58.37
37,6:40.69,1:40.17,100.8,-1:56.69,-1:59.17
36,6:44.00,1:41.00,100.0,0:00.00,0:00.00
35,6:47.43,1:41.86,99.2,0:03.43,0:00.86
34,6:50.99,1:42.75,98.3,0:06.99,0:01.75
33,6:54.68,1:43.67,97.4,0:10.68,0:02.67
32,6:58.53,1:44.63,96.5,0:14.53,0:03.63
31,7:02.54,1:45.63,95.6,0:18.54,0:04.63
30,7:06.71,1:46.68,94.7,0:22.71,0:05.68
29,7:11.07,1:47.77,93.7,0:27.07,0:06.77
28,7:15.64,1:48.91,92.7,0:31.64,0:07.91
27,7:20.42,1:50.10,91.7,0:36.42,0:09.10
26,7:25.43,1:51.36,90.7,0:41.43,0:10.36
25,7:30.70,1:52.68,89.6,0:46.70,0:11.68
24,7:36.26,1:54.06,88.5,0:52.26,0:13.06
23,7:42.12,1:55.53,87.4,0:58.12,0:14.53
22,7:48.32,1:57.08,86.3,1:04.32,0:16.08
21,7:54.90,1:58.73,85.1,1:10.90,0:17.73
20,8:01.91,2:00.48,83.8,1:17.91,0:19.48
19,8:09.38,2:02.34,82.6,1:25.38,0:21.34
18,8:17.38,2:04.35,81.2,1:33.38,0:23.35
17,8:25.98,2:06.50,79.8,1:41.98,0:25.50
16,8:35.27,2:08.82,78.4,1:51.27,0:27.82
