Rate,Overall_Time,500m_Split,WBT_Percentage,Time_Diff_vs_36,Split_Diff_vs_36
40,5:40.00,1:25.00,110.0,-1:26.00,-1:51.50
39,6:05.13,1:31.28,102.4,-1:51.13,-1:57.78
38,6:07.98,1:32.00,101.6,-1:53.98,-1:58.50
37,6:10.94,1:32.73,100.8,-1:56.94,-1:59.23
36,6:14.00,1:33.50,100.0,0:00.00,0:00.00
35,6:17.17,1:34.29,99.2,0:03.17,0:00.79
34,6:20.47,1:35.12,98.3,0:06.47,0:01.62
33,6:23.89,1:35.97,97.4,0:09.89,0:02.47
32,6:27.45,1:36.86,96.5,0:13.45,0:03.36
31,6:31.16,1:37.79,95.6,0:17.16,0:04.29
30,6:35.03,1:38.76,94.7,0:21.03,0:05.26
29,6:39.06,1:39.77,93.7,0:25.06,0:06.27
28,6:43.29,1:40.82,92.7,0:29.29,0:07.32
27,6:47.71,1:41.93,91.7,0:33.71,0:08.43
26,6:52.35,1:43.09,90.7,0:38.35,0:09.59
25,6:57.23,1:44.31,89.6,0:43.23,0:10.81
24,7:02.38,1:45.59,88.5,0:48.38,0:12.09
23,7:07.80,1:46.95,87.4,0:53.80,0:13.45
22,7:13.55,1:48.39,86.3,0:59.55,0:14.89
21,7:19.64,1:49.91,85.1,1:05.64,0:16.41
20,7:26.12,1:51.53,83.8,1:12.12,0:18.03
19,7:33.04,1:53.26,82.6,1:19.04,0:19.76
18,7:40.45,1:55.11,81.2,1:26.45,0:21.61
17,7:48.41,1:57.10,79.8,1:34.41,0:23.60
16,7:57.01,1:59.25,78.4,1:43.01,0:25.75
