Rate,Overall_Time,500m_Split,WBT_Percentage,Time_Diff_vs_36,Split_Diff_vs_36
40,5:01.82,1:15.45,110.0,-1:29.82,-1:52.45
39,5:24.12,1:21.03,102.4,-1:52.12,-1:58.03
38,5:26.66,1:21.66,101.6,-1:54.66,-1:58.66
37,5:29.28,1:22.32,100.8,-1:57.28,-1:59.32
36,5:32.00,1:23.00,100.0,0:00.00,0:00.00
35,5:34.82,1:23.70,99.2,0:02.82,0:00.70
34,5:37.74,1:24.44,98.3,0:05.74,0:01.44
33,5:40.78,1:25.20,97.4,0:08.78,0:02.20
32,5:43.94,1:25.99,96.5,0:11.94,0:02.99
31,5:47.23,1:26.81,95.6,0:15.23,0:03.81
30,5:50.67,1:27.67,94.7,0:18.67,0:04.67
29,5:54.25,1:28.56,93.7,0:22.25,0:05.56
28,5:58.00,1:29.50,92.7,0:26.00,0:06.50
27,6:01.93,1:30.48,91.7,0:29.93,0:07.48
26,6:06.05,1:31.51,90.7,0:34.05,0:08.51
25,6:10.38,1:32.59,89.6,0:38.38,0:09.59
24,6:14.94,1:33.74,88.5,0:42.94,0:10.74
23,6:19.76,1:34.94,87.4,0:47.76,0:11.94
22,6:24.86,1:36.21,86.3,0:52.86,0:13.21
21,6:30.27,1:37.57,85.1,0:58.27,0:14.57
20,6:36.02,1:39.01,83.8,1:04.02,0:16.01
19,6:42.16,1:40.54,82.6,1:10.16,0:17.54
18,6:48.74,1:42.18,81.2,1:16.74,0:19.18
17,6:55.81,1:43.95,79.8,1:23.81,0:20.95
16,7:03.44,1:45.86,78.4,1:31.44,0:22.86
