Rate,Overall_Time,500m_Split,WBT_Percentage,Time_Diff_vs_36,Split_Diff_vs_36
40,6:43.64,1:40.91,110.0,-1:19.64,-1:49.91
39,7:13.47,1:48.37,102.4,-1:49.47,-1:57.37
38,7:16.86,1:49.21,101.6,-1:52.86,-1:58.21
37,7:20.37,1:50.09,100.8,-1:56.37,-1:59.09
36,7:24.00,1:51.00,100.0,0:00.00,0:00.00
35,7:27.77,1:51.94,99.2,0:03.77,0:00.94
34,7:31.68,1:52.92,98.3,0:07.68,0:01.92
33,7:35.74,1:53.94,97.4,0:11.74,0:02.94
32,7:39.97,1:54.99,96.5,0:15.97,0:03.99
31,7:44.37,1:56.09,95.6,0:20.37,0:05.09
30,7:48.96,1:57.24,94.7,0:24.96,0:06.24
29,7:53.76,1:58.44,93.7,0:29.76,0:07.44
28,7:58.77,1:59.69,92.7,0:34.77,0:08.69
27,8:04.02,2:01.01,91.7,0:40.02,0:10.01
26,8:09.53,2:02.38,90.7,0:45.53,0:11.38
25,8:15.33,2:03.83,89.6,0:51.33,0:12.83
24,8:21.43,2:05.36,88.5,0:57.43,0:14.36
23,8:27.87,2:06.97,87.4,1:03.87,0:15.97
22,8:34.69,2:08.67,86.3,1:10.69,0:17.67
21,8:41.92,2:10.48,85.1,1:17.92,0:19.48
20,8:49.62,2:12.41,83.8,1:25.62,0:21.41
19,8:57.83,2:14.46,82.6,1:33.83,0:23.46
18,9:06.63,2:16.66,81.2,1:42.63,0:25.66
17,9:16.08,2:19.02,79.8,1:52.08,0:28.02
16,9:26.29,2:21.57,78.4,2:02.29,0:30.57
